# (F) stands for finished and (D) for duration:
process, i, MEAN, SD, CI lower limit, CI upper limit
D, process7, 89.19017510000000000000, .64501409876277639909, 88.87411819160623956445, 89.50623200839376043555
F, process8, 61.74451283333333333333, .52087881712723951221, 61.48928221294098597235, 61.99974345372568069431
D, process8, 59.74451283333333333333, .52087881712723951221, 59.48928221294098597235, 59.99974345372568069431
F, process9, 31.37049770000000000000, .40885805899856818972, 31.17015725109070158704, 31.57083814890929841296
D, process9, 28.37049770000000000000, .40885805899856818972, 28.17015725109070158704, 28.57083814890929841296
F, process10, 77.92991543333333333333, .48151343562291061877, 77.69397384987810713014, 78.16585701678855953652
D, process10, 76.22991843333333333333, .48151343562291061877, 75.99397684987810713014, 76.46586001678855953652
F, process11, 94.31587443333333333333, .72708589872071664474, 93.95960234296018217741, 94.67214652370648448925
D, process11, 91.81587443333333333333, .72708589872071664474, 91.45960234296018217741, 92.17214652370648448925
F, process12, 49.31233796666666666666, .29783575658232433853, 49.16639844594132774079, 49.45827748739200559253
D, process12, 45.31233796666666666666, .29783575658232433853, 45.16639844594132774079, 45.45827748739200559253
F, process13, 12.21945700000000000000, .17265036041896929674, 12.13485832339470504460, 12.30405567660529495540
D, process13, 11.21945700000000000000, .17265036041896929674, 11.13485832339470504460, 11.30405567660529495540
F, process14, 19.36061690000000000000, .29805844504049313492, 19.21456826193015836389, 19.50666553806984163611
D, process14, 10.36061690000000000000, .29805844504049313492, 10.21456826193015836389, 10.50666553806984163611
F, process15, 88.63057023333333333333, .71534942122539822616, 88.28004901693288820252, 88.98109144973377846414
D, process15, 81.63057023333333333333, .71534942122539822616, 81.28004901693288820252, 81.98109144973377846414
F, process16, 70.23706990000000000000, .60759391379080101293, 69.93934888224250750367, 70.53479091775749249633
D, process16, 69.23706990000000000000, .60759391379080101293, 68.93934888224250750367, 69.53479091775749249633
Context change, 1.00000000000000000000
Failed deadlines, 16, 16

EDF
F, process1, 17.99708760000000000000, 1.56751443080595167663, 17.22900552890508367846, 18.76516967109491632154
D, process1, 16.99708760000000000000, 1.56751443080595167663, 16.22900552890508367846, 17.76516967109491632154
F, process2, 37.92411556666666666666, 8.38289778523357909346, 33.81649565190221291087, 42.03173548143112042245
D, process2, 34.72411513333333333333, 8.38289870934722568786, 30.61649476575319274628, 38.83173550091347392038
F, process3, 14.96186233333333333333, 21.33851872587935180537, 4.50598815765245094870, 25.41773650901421571796
D, process3, 11.96186233333333333333, 21.33851872587935180537, 1.50598815765245094870, 22.41773650901421571796
F, process4, 50.43340026666666666666, 3.94922156838238973757, 48.49828169815929569526, 52.36851883517403763806
D, process4, 45.43340026666666666666, 3.94922156838238973757, 43.49828169815929569526, 47.36851883517403763806
F, process5, 25.81220280000000000000, 3.27824569749553091669, 24.20586240822718985083, 27.41854319177281014917
D, process5, 21.81220280000000000000, 3.27824569749553091669, 20.20586240822718985083, 23.41854319177281014917
F, process6, 9.23950133333333333333, 1.63738025150487128853, 8.43718501009594640196, 10.04181765657072026470
D, process6, 5.23950133333333333333, 1.63738025150487128853, 4.43718501009594640196, 6.04181765657072026470
F, process7, 73.69474493333333333333, 4.47399104061244131986, 71.50248932343323708660, 75.88700054323342958006
